iter	Passed	Remaining
606	1523	986
607	1524	982
608	1525	979
609	1527	976
610	1528	973
611	1529	969
612	1530	966
613	1532	963
614	1533	959
615	1534	956
616	1536	953
617	1538	950
618	1539	947
619	1540	944
620	1541	940
621	1542	937
622	1544	934
623	1545	931
624	1546	927
625	1547	924
626	1548	921
627	1549	917
628	1551	914
629	1552	911
630	1553	908
631	1554	905
632	1555	902
633	1557	898
634	1558	895
635	1559	892
636	1560	889
637	1561	886
638	1563	883
639	1564	879
640	1565	876
641	1567	873
642	1568	870
643	1570	867
644	1571	864
645	1572	861
646	1574	859
647	1576	856
648	1578	853
649	1580	850
650	1582	848
651	1584	845
652	1586	842
653	1587	840
654	1589	837
655	1590	834
656	1592	831
657	1593	828
658	1594	825
659	1596	822
660	1597	819
661	1598	816
662	1599	813
663	1601	810
664	1602	807
665	1603	804
666	1604	801
667	1605	798
668	1607	795
669	1608	792
670	1609	789
671	1611	786
672	1613	783
673	1614	780
674	1615	778
675	1617	775
676	1621	773
677	1623	770
678	1625	768
679	1627	765
680	1629	763
681	1631	760
682	1633	758
683	1635	755
684	1641	754
685	1645	753
686	1660	756
687	1662	754
688	1664	751
689	1666	748
690	1668	746
691	1670	743
692	1674	741
693	1682	741
694	1684	739
695	1686	736
696	1689	734
697	1691	731
698	1692	729
699	1694	726
700	1697	724
701	1698	721
702	1700	718
703	1701	715
704	1703	712
705	1705	710
706	1706	707
707	1708	704
708	1710	701
709	1711	699
710	1712	696
711	1713	693
712	1714	690
713	1716	687
714	1718	684
715	1719	682
716	1721	679
717	1723	676
718	1724	673
719	1725	671
720	1727	668
721	1728	665
722	1729	662
723	1730	659
724	1731	656
725	1733	654
726	1734	651
727	1737	649
728	1738	646
729	1739	643
730	1740	640
731	1742	637
732	1743	635
733	1744	632
734	1745	629
735	1747	626
736	1748	624
737	1750	621
738	1751	618
739	1753	616
740	1755	613
741	1756	610
742	1757	607
743	1758	605
744	1759	602
745	1760	599
746	1762	597
747	1764	594
748	1765	591
749	1766	588
750	1768	586
751	1769	583
752	1771	581
753	1772	578
754	1773	575
755	1775	572
756	1776	570
757	1778	567
758	1779	565
759	1780	562
760	1781	559
761	1783	556
762	1784	554
763	1785	551
764	1786	548
765	1787	546
766	1789	543
767	1790	540
768	1791	538
769	1793	535
770	1794	532
771	1795	530
772	1796	527
773	1798	525
774	1799	522
775	1801	519
776	1802	517
777	1803	514
778	1805	512
779	1807	509
780	1808	507
781	1809	504
782	1810	501
783	1811	499
784	1812	496
785	1813	493
786	1815	491
787	1817	488
788	1818	486
789	1820	483
790	1821	481
791	1822	478
792	1823	476
793	1824	473
794	1826	470
795	1827	468
796	1828	465
797	1829	463
798	1830	460
799	1831	457
800	1833	455
801	1834	453
802	1836	450
803	1838	448
804	1839	445
805	1840	443
806	1841	440
807	1843	437
808	1844	435
809	1845	432
810	1846	430
811	1847	427
812	1849	425
813	1850	422
814	1851	420
815	1852	417
816	1854	415
817	1854	412
818	1856	410
819	1857	407
820	1858	405
821	1859	402
822	1861	400
823	1862	397
824	1864	395
825	1865	392
826	1866	390
827	1867	388
828	1869	385
829	1870	383
830	1872	380
831	1873	378
832	1874	375
833	1876	373
834	1877	370
835	1878	368
836	1879	366
837	1880	363
838	1882	361
839	1883	358
840	1884	356
841	1885	353
842	1887	351
843	1888	349
844	1889	346
845	1890	344
846	1891	341
847	1893	339
848	1894	336
849	1895	334
850	1896	332
851	1897	329
852	1899	327
853	1900	324
854	1901	322
855	1902	320
856	1903	317
857	1905	315
858	1906	312
859	1907	310
860	1908	308
861	1909	305
862	1910	303
863	1912	300
864	1913	298
865	1914	296
866	1915	293
867	1916	291
868	1917	289
869	1919	286
870	1920	284
871	1921	282
872	1922	279
873	1923	277
874	1925	275
875	1926	272
876	1928	270
877	1929	268
878	1930	265
879	1931	263
880	1932	261
881	1933	258
882	1935	256
883	1936	254
884	1937	251
885	1938	249
886	1940	247
887	1941	244
888	1942	242
889	1944	240
890	1945	237
891	1946	235
892	1947	233
893	1948	231
894	1949	228
895	1951	226
896	1952	224
897	1953	221
898	1954	219
899	1956	217
900	1957	215
901	1958	212
902	1959	210
903	1960	208
904	1961	205
905	1963	203
906	1964	201
907	1965	199
908	1967	196
909	1968	194
910	1969	192
911	1970	190
912	1972	187
913	1973	185
914	1974	183
915	1975	181
916	1976	178
917	1978	176
918	1979	174
919	1980	172
920	1981	169
921	1982	167
922	1984	165
923	1985	163
924	1986	161
925	1987	158
926	1988	156
927	1990	154
928	1991	152
929	1992	149
930	1994	147
931	1995	145
932	1996	143
933	1997	141
934	1998	138
935	1999	136
936	2000	134
937	2002	132
938	2003	130
939	2004	127
940	2005	125
941	2006	123
942	2008	121
943	2009	119
944	2010	117
945	2012	114
946	2013	112
947	2014	110
948	2015	108
949	2017	106
950	2018	103
951	2019	101
952	2021	99
953	2022	97
954	2023	95
955	2024	93
956	2025	91
957	2027	88
958	2028	86
959	2029	84
960	2030	82
961	2031	80
962	2033	78
